Team,Home_Rating,Away_Rating,Diff
Burnley,6.56,6.32,0.23999999999999932
Liverpool,6.79,6.6,0.1900000000000004
Fulham,6.66,6.49,0.16999999999999993
Brentford,6.74,6.58,0.16000000000000014
Sunderland,6.66,6.51,0.15000000000000036
Manchester United,6.83,6.68,0.15000000000000036
Newcastle,6.68,6.54,0.13999999999999968
Leeds,6.67,6.54,0.1299999999999999
Aston Villa,6.64,6.52,0.1200000000000001
Wolves,6.5,6.39,0.11000000000000032
Manchester City,6.94,6.84,0.10000000000000053
Brighton,6.65,6.56,0.09000000000000075
Bournemouth,6.7,6.63,0.07000000000000028
Arsenal,6.82,6.76,0.0600000000000005
West Ham,6.61,6.58,0.03000000000000025
Everton,6.69,6.67,0.020000000000000462
Nottingham Forest,6.62,6.6,0.020000000000000462
Crystal Palace,6.62,6.62,0.0
Chelsea,6.63,6.65,-0.020000000000000462
Tottenham,6.53,6.64,-0.10999999999999943
