Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,defensive_Shots pg,defensive_Tackles pg,defensive_Interceptions pg,defensive_Fouls pg,defensive_Offsides pg,defensive_Rating,offensive_Shots pg,offensive_Shots OT pg,offensive_Dribbles pg,offensive_Fouled pg,offensive_Rating,xG_for_xG,xG_for_Goals*,xG_for_xGDiff,xG_for_Shots,xG_for_xG/Shots,xG_for_Rating,xG_against_xG,xG_against_Goals*,xG_against_xGDiff,xG_against_Shots,xG_against_xG/Shots,xG_against_Rating
Arsenal,41,16.1,170,56.6,85.6,13.6,6.82,6.9,15.3,7.4,10.0,2.1,6.82,16.1,5.0,7.4,11.5,6.82,39.18,37,-2.18,305,0.13,6.82,14.84,10,-4.84,132,0.11,6.82
Aston Villa,32,13.7,251,53.1,85.2,11.7,6.64,11.3,14.7,6.2,10.0,1.3,6.64,13.7,4.8,6.1,12.7,6.64,28.62,31,2.38,261,0.11,6.64,25.38,22,-3.38,215,0.12,6.64
Bournemouth,29,14.5,410,52.4,80.9,16.5,6.7,9.3,15.1,9.2,11.5,2.1,6.7,14.5,4.5,7.6,10.0,6.7,30.92,28,-2.92,275,0.11,6.7,16.63,18,1.37,176,0.09,6.7
Brentford,33,12.0,280,47.1,79.2,19.3,6.74,12.4,13.9,9.3,9.6,1.4,6.74,12.0,4.1,6.4,9.5,6.74,40.26,31,-9.26,228,0.18,6.74,27.09,21,-6.09,236,0.11,6.74
Brighton,30,13.8,340,54.9,84.4,14.8,6.65,9.8,18.3,7.0,11.3,1.7,6.65,13.8,4.9,7.2,10.5,6.65,30.65,29,-1.65,262,0.12,6.65,23.84,19,-4.84,187,0.13,6.65
Burnley,18,10.8,241,43.4,79.3,15.0,6.56,16.3,16.0,9.5,10.0,1.3,6.56,10.8,3.3,6.6,8.2,6.56,21.14,16,-5.14,206,0.1,6.56,39.19,29,-10.19,310,0.13,6.56
Chelsea,26,15.2,423,58.9,87.8,13.1,6.63,10.1,15.5,9.3,10.8,1.4,6.63,15.2,4.2,7.1,12.1,6.63,37.67,26,-11.67,288,0.13,6.63,27.91,25,-2.91,192,0.15,6.63
Crystal Palace,19,13.4,301,47.4,77.8,20.6,6.62,10.7,16.8,7.7,10.4,1.8,6.62,13.4,3.9,3.9,9.7,6.62,35.78,18,-17.78,254,0.14,6.62,29.4,22,-7.4,203,0.14,6.62
Everton,26,12.2,353,46.2,81.4,21.7,6.69,11.4,18.9,7.8,10.5,1.3,6.69,12.2,4.3,6.7,10.7,6.69,28.22,25,-3.22,232,0.12,6.69,27.81,27,-0.81,216,0.13,6.69
Fulham,30,14.2,361,52.7,84.5,14.9,6.66,10.4,15.4,8.1,10.7,1.8,6.66,14.2,4.0,6.4,9.7,6.66,28.31,26,-2.31,269,0.11,6.66,25.07,17,-8.07,198,0.13,6.66
Leeds,29,14.3,310,47.3,79.6,18.4,6.67,11.1,16.6,9.4,10.1,1.7,6.67,14.3,4.4,5.4,11.4,6.67,33.72,29,-4.72,272,0.12,6.67,24.19,21,-3.19,210,0.12,6.67
Liverpool,34,17.2,221,58.8,85.3,16.4,6.79,11.0,14.3,6.7,9.9,2.2,6.79,17.2,5.2,8.9,10.0,6.79,35.31,32,-3.31,327,0.11,6.79,22.62,20,-2.62,209,0.11,6.79
Manchester City,45,16.4,290,60.2,88.3,12.2,6.94,8.9,13.8,7.8,9.8,0.9,6.94,16.4,6.1,10.4,10.5,6.94,43.17,43,-0.17,311,0.14,6.94,22.06,14,-8.06,169,0.13,6.94
Manchester United,39,17.9,322,50.9,83.7,15.9,6.83,10.3,19.3,9.0,10.5,1.7,6.83,17.9,6.8,6.9,9.9,6.83,40.79,38,-2.79,340,0.12,6.83,23.81,24,0.19,196,0.12,6.83
Newcastle,36,14.3,292,52.1,81.9,18.8,6.68,11.9,15.2,6.7,10.8,1.4,6.68,14.3,5.5,7.5,12.6,6.68,38.92,36,-2.92,272,0.14,6.68,30.48,30,-0.48,227,0.13,6.68
Nottingham Forest,20,15.0,241,49.1,82.8,14.3,6.62,12.1,17.2,7.5,10.3,1.5,6.62,15.0,4.0,8.3,10.4,6.62,29.14,20,-9.14,285,0.1,6.62,28.16,22,-6.16,229,0.12,6.62
Sunderland,25,12.1,391,45.9,79.7,17.4,6.66,11.8,14.6,8.4,10.3,1.1,6.66,12.1,3.6,6.2,11.1,6.66,23.58,21,-2.58,229,0.1,6.66,25.6,19,-6.6,225,0.11,6.66
Tottenham,22,12.7,533,51.2,81.7,17.2,6.53,11.6,18.8,8.2,12.6,1.6,6.53,12.7,3.8,9.2,10.4,6.53,25.61,22,-3.61,241,0.11,6.53,28.09,31,2.91,221,0.13,6.53
West Ham,27,11.1,312,41.3,78.4,14.4,6.61,13.6,18.7,8.0,11.2,1.7,6.61,11.1,3.8,6.1,9.8,6.61,29.67,25,-4.67,210,0.14,6.61,31.18,29,-2.18,259,0.12,6.61
Wolves,19,10.2,310,43.4,79.6,14.3,6.5,12.3,20.7,8.2,12.5,1.5,6.5,10.2,3.6,7.2,10.6,6.5,23.03,18,-5.03,193,0.12,6.5,30.2,34,3.8,233,0.13,6.5
